time,domain,iface,event,step,txid,ip,mac,ssid,snr,hops,note
1.537598,1,STA,FIRST_SEEN,First Seen,0,10.1.1.5,,A,-62.328859,0,AP beacon detected
1.639170,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0d,Adhoc-C,-66.058476,1,native PHY beacon; role=peer
1.639170,3,ADHOC,FIRST_SEEN,First Seen,0,10.100.3.1,00:00:00:00:00:0d,Adhoc-C,-66.058476,1,native collaborative MAC beacon
1.728983,2,STA,FIRST_SEEN,First Seen,0,10.2.1.3,,B,-67.572702,0,AP beacon detected
1.741543,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0f,Adhoc-C,-63.840120,1,native PHY beacon; role=peer
1.843970,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0d,Adhoc-C,-65.976244,1,native PHY beacon; role=peer
1.946352,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0d,Adhoc-C,-65.934942,1,native PHY beacon; role=peer
2.011665,0,STA,KEY_DERIVED,AP Key Derived,0,0.0.0.0,,C,-65.040751,0,Chebyshev context cached by SSID
2.048824,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0f,Adhoc-C,-63.693894,1,native PHY beacon; role=peer
2.151143,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0e,Adhoc-C,-67.230064,1,native PHY beacon; role=peer
2.253543,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0d,Adhoc-C,-65.810238,1,native PHY beacon; role=peer
2.355970,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0d,Adhoc-C,-65.768395,1,native PHY beacon; role=peer
2.458343,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0d,Adhoc-C,-65.726442,1,native PHY beacon; role=peer
2.560770,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0d,Adhoc-C,-65.684332,1,native PHY beacon; role=peer
2.663152,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0f,Adhoc-C,-63.396640,1,native PHY beacon; role=peer
2.765552,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0f,Adhoc-C,-63.346440,1,native PHY beacon; role=peer
2.867943,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0f,Adhoc-C,-63.296053,1,native PHY beacon; role=peer
2.971184,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0c,Adhoc-C,-64.625231,0,native PHY beacon; role=gateway
3.011658,0,STA,KEY_DERIVED,AP Key Derived,0,0.0.0.0,,B,-67.111677,0,Chebyshev context cached by SSID
3.072752,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0e,Adhoc-C,-66.886321,1,native PHY beacon; role=peer
3.175161,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0d,Adhoc-C,-65.428891,1,native PHY beacon; role=peer
3.277570,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0f,Adhoc-C,-63.092548,1,native PHY beacon; role=peer
3.379970,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0c,Adhoc-C,-64.444481,0,native PHY beacon; role=gateway
3.584743,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0e,Adhoc-C,-66.691370,1,native PHY beacon; role=peer
3.687152,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0e,Adhoc-C,-66.652023,1,native PHY beacon; role=peer
3.789579,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0e,Adhoc-C,-66.612551,1,native PHY beacon; role=peer
3.891970,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0c,Adhoc-C,-64.214682,0,native PHY beacon; role=gateway
3.994352,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0e,Adhoc-C,-66.533278,1,native PHY beacon; role=peer
4.011660,0,STA,KEY_DERIVED,AP Key Derived,0,0.0.0.0,,A,-60.984164,0,Chebyshev context cached by SSID
4.096806,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0c,Adhoc-C,-64.121659,0,native PHY beacon; role=gateway
4.199143,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0f,Adhoc-C,-62.623010,1,native PHY beacon; role=peer
4.301552,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0e,Adhoc-C,-66.413441,1,native PHY beacon; role=peer
4.403952,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0c,Adhoc-C,-63.980984,0,native PHY beacon; role=gateway
4.500000,1,STA,SELECTED,Selected,0,10.1.1.5,,A,-60.934889,0,score=0.417505;algorithm=mobility-aware-predictive-madm;predicted_dbm=-60.9349;trend_dbps=0;hysteresis=0.015;ttt_s=1;emergency=0;reason=initial access
4.500000,0,AP,SWITCH_START,Switch Start,0,0.0.0.0,,,-100.000000,99,AP->AP
4.500000,1,STA,DATA_SOCKET_BIND,Socket Rebind,0,0.0.0.0,,,-100.000000,99,
4.500000,1,STA,DATA_PLANE_AP,Data Plane Switch,0,0.0.0.0,,,-100.000000,99,STA data plane active
4.500000,1,STA,ROUTE_UPDATED,Route Updated,0,0.0.0.0,,,-100.000000,99,Default route via STA
4.500000,1,STA,SWITCH_READY,Switch Ready,0,0.0.0.0,,A,-60.934889,0,STA control path ready
6.042343,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0c,Adhoc-C,-63.205365,0,native PHY beacon; role=gateway
6.144743,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0c,Adhoc-C,-63.155415,0,native PHY beacon; role=gateway
6.247143,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0e,Adhoc-C,-65.627801,1,native PHY beacon; role=peer
6.349570,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0d,Adhoc-C,-64.024343,1,native PHY beacon; role=peer
6.451970,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0f,Adhoc-C,-61.400491,1,native PHY beacon; role=peer
6.555094,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0c,Adhoc-C,-62.953428,0,native PHY beacon; role=gateway
6.656752,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0c,Adhoc-C,-62.902933,0,native PHY beacon; role=gateway
6.759197,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0d,Adhoc-C,-63.831763,1,native PHY beacon; role=peer
